filename,width,height,mode,mean_intensity,std_intensity,min_intensity,max_intensity,entropy,sharpness,has_nan
J084705.03+533734.6.jpg,800,800,RGB,46.36607083333333,32.64700366641604,0,255,6.444587173402506,14747.618558285003,False
J013653.59-050046.0.jpg,800,800,RGB,41.73559739583333,32.37716001662401,0,255,6.182691024609734,12813.50759119,False
J162638.25+222419.3.jpg,800,800,RGB,41.2366875,33.49372403690992,0,255,6.547495237055977,13937.129562464997,False
J074627.69+181155.6.jpg,800,800,RGB,52.43264583333333,39.34540539778733,0,255,6.846978804738957,13244.015275939999,False
J101141.30+190129.0.jpg,800,800,RGB,38.560064583333336,28.075305514737128,0,255,6.455885556699707,13688.846530185003,False
J071136.20+393935.9.jpg,800,800,RGB,56.120353125,49.580784106600234,0,255,6.896488692658821,14303.13342924,False
J110340.70+222021.9.jpg,800,800,RGB,37.96921875,29.047753416681214,0,255,6.404123365345546,13360.916007165,False
J124755.87+225619.2.jpg,800,800,RGB,52.3117890625,43.619442334349856,0,255,6.824819285292991,12694.3917625,False
J133101.89+391302.9.jpg,800,800,RGB,39.4730578125,30.175056927483435,0,255,6.371861675939747,14719.406022709998,False
J121836.63+224113.4.jpg,800,800,RGB,39.03349427083333,29.01279461843208,0,255,6.553540772097843,12002.662717415,False
J121256.97+151706.0.jpg,800,800,RGB,55.7649640625,44.86977771706605,0,255,7.013425442717154,13739.903902959997,False
J121244.03+600531.9.jpg,800,800,RGB,39.598441666666666,28.846846644331805,0,255,6.369995388935039,14298.54832169,False
J112219.81+243046.4.jpg,800,800,RGB,40.539918229166666,33.14043409733765,0,255,6.607063649005234,13515.546536625001,False
J103944.96+443105.4.jpg,800,800,RGB,44.3116265625,31.093636638488874,0,255,6.3795563770182175,14375.388496265,False
J114026.30-041253.9.jpg,800,800,RGB,46.84620989583333,36.2236234952371,0,255,6.666875617853646,13557.344532765,False
J162024.78+262504.3.jpg,800,800,RGB,39.7425515625,31.39154414391762,0,255,6.3508368322433295,13535.627463375,False
J130738.45+471940.3.jpg,800,800,RGB,44.10869375,33.92388370556519,0,255,6.4130571169114665,14651.679482340001,False
J092826.31+350219.6.jpg,800,800,RGB,44.396138541666666,35.423619375671834,0,255,6.486921870192811,14620.607572714996,False
J222127.57+125610.4.jpg,800,800,RGB,47.1872171875,37.82479922886401,0,255,6.727723875492682,13823.46452326,False
J144900.97+164837.2.jpg,800,800,RGB,45.340965625,36.31562256718957,0,255,6.7014134703352575,14097.76130331,False
